@relation 'Twitter Sentiment Analysis SemEval Dataset'

@attribute content string
@attribute Class {positive,neutral,negative}

@data
'My teachers call themselves givng us candy....wasn\'t even the GOOD stuff. I might go to Walmart or CVS tomorrow/',negative
'#Broncos Peyton Manning named AFC Offensive Player of the month. It\'s his 5th such honor, second to Tom Brady\'s 6, tied w/ TD.',neutral
'@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!',neutral
'@jackseymour11 I may have an Android phone by the time I get back to school! :)',positive
'Andre\'s Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://t.co/3mo7WIWd',neutral
'@Genesis8907 Tryst tonight! Best industry/local/Thursday party in Las Vegas!',positive
'What If it rained? We didn\'t care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine',positive
'@CalebMac93 @strokemyego17 royal rumble tomorrow night, my house. assemble the crew were gettin real this time haahaha',positive
'@juice005 strange enough, I\'m going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch',neutral
'When my professor passes out candy and says \\\"\"a very small amount of that may be from Valentines day, just so you know\\\"\"',neutral
'How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter',neutral
'Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh',negative
'taylor swift is coming with ed sheeran june 29th? most perf news i\'ve heard all night.',positive
'The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we\'re 4th row center. Plenty of room. Pretty fired up',positive
'I\'d love to go for a pint with Jim White off SSN, think he may have a bit about him',positive
'@lala_cox There are going to be plenty of ups & downs for Boro,Cardiff,Leicester etc until May.I hope we are still in with a shout for promo',neutral
'@joeeewilliams that sucks, amazon might have some left .. hate that i won\'t have it until 11am on Tuesday though',negative
'Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun',positive
'Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers',neutral
'#CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic',positive
'@rosanne_89 Nooooooooo rosanne! They\'ve just restocked them and me going overseas Sunday means I can\'t afford them :\'(',negative
'The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry',neutral
'@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;',positive
'after seeing @Iam_FaithReid\'s tweet about watching The Vow, I think I may need to watch it.',neutral
'Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.',positive
'Yeah.. You know just sitting around by myself listening to Avril Lavigne, typical Friday night.',neutral
'@Cardschatter @azcardinalsftw D, you\'re the closest source btwn fans & team. BTW heard cards may sign Billy Cundiff. Any truth?! #snarklife',neutral
'@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to us, Jordan. #PennyCan',positive
'Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.',neutral
'I think I may have a heart attack for Jason Wu\'s new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn',positive
'If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ',neutral
'Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Don\'t miss tomorrow night... http://t.co/i9asnsET',positive
'#Nationals 9th Inning had that \\\"\"4th Quarter #Redskins\\\"\" feel, didn\'t it?  Coulda swore I saw Cundiff shank one from the mound.',neutral
'Why would you still wear shorts when it\'s this cold?!  I love how Britain see\'s a bit of sun and they\'re like \'OOOH LET\'S STRIP!\'',positive
'.@PPPpolls You mentioned on Monday that you would be releasing Colorado and Nevada numbers on Wednesday; were those polls abandoned?',neutral
'Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng',positive
'JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period',neutral
'Kick-off your weekend with service! EV!\'s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)',positive
'@nater0driguez Lmfao alright u got me there. Good job Parker and the spurs, see y\'all jan 9th. If I get an extra ticket to that game ur goin',positive
'Desperation Day (February 13th)  the most well known day in all mens life.',negative
'@SunnyClifford We have a similar circumstance in Australia. Jan 25 is Australia Day & many First peoples call it Invasion Day.',neutral
'paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6',neutral
'#web Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...',neutral
'You two may fight like cats and dogs, but you\'re completely head over heels for each other. You two are like Allie and Noah in The Notebook.',positive
'\\\"\"@PaperChasinAL: Damn next Saturday tho\\\"\" Niggas was trynna get shit over with #early',negative
'and the 4th one is for Harry Styles!! <33333',neutral
'this guy so much like bruno mars, it\'s crazy. he may be his long lost twin.',neutral
'Blog Post: MTV\'s \\\"\"Teen Mom 2\\\"\" Returns for an Intense Third Season with Chelsea, Jenelle, Kailyn and Leah on Monday,... http://t.co/mgMHsfvu',neutral
'The Business Leader\'s Award ceremony will be held during the @wef annual meeting in Davos on the  25 January 2013! http://t.co/YI4r8UFM',neutral
'@elifyk1 Hi Elif  Greetings from USA midwest  How is school going?  Happy Turkish Republic Day!  I can\'t wait for Nov 8 #NewGlee Yes!',positive
'Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion',positive
'@Jordon_Atkins me you and joe gone chill Saturday of i come tho',neutral
'\\\"\"Obma fails 2unite us, he divides us by sex, color,party,age, wealth Nevada\'s 1st Latino governor votes early for Romney, predicts GOP win\\\"\"',negative
'Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...',positive
'Calling all voters, I\'m calling on Nevada,Florida,Ohio,Tuesday night is the night u guys will i repeat will shine for the president lets go!',neutral
'We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://t.co/XmaXMLCQ on Nov 1st at 11am (CST)',neutral
'It\'s Radio 1 Rocks next -  week starting off with a Live lounge on @fearnecotton\'s show with Bullet for my Valentine on Monday',neutral
'Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD',positive
'@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther',neutral
'Halloween may be the second worst holiday, right after valentine\'s day',negative
'PUMPED to open the season tomorrow night against Georgetown!  Women\'s Preview: http://t.co/1k3PAK3C | Men\'s Preview: http://t.co/n5oFat9V',positive
'Just found a piece of candy that may have been injected with something. #Why',negative
'Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&#039;s mo...',neutral
'Somehow I managed to \\\"\"lose\\\"\" my princess leia bra on Saturday. I\'m going to Noel Gallagher as \\\"\"Glock at Phish\\\"\" ie jorts&tank. @custymcnoob',neutral
'@docbungle I may relent and get one myself, but I hope it doesn\'t come to that. Hopefully all the decent apps will get ported to android',neutral
'Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday, Android 4.2 bring... http://t.co/yl8QQP0R',neutral
'SAEED: #NowPlaying: BEP, Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw',positive
'@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nope, it\'s just Camden, eating Greek food with a pumpkin... Just another Wednesday.',neutral
'Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://t.co/jQE4RJYb #fashion #shopping #highstreet',neutral
'FAQ: What is \'skeuomorphic design\' and the executive shakeup at Apple: SAN FRANCISCO, CA - MARCH 07:  Apple CEO ... http://t.co/YCvoPl98',neutral
'Fact of the day; Halloween night is Papa John\'s second busiest night of the year behind Super Bowl Sunday.',neutral
'@nicoleandrews_ No one can hold a candle to queen coco. If she\'s still doing shows in August for my wedding we HAVE to go!!!',positive
'Omg. Ricky Martin may be gay but he is one fine ass gay man.',positive
'@lenakoncha the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! :) wish you were in LA STILL.',positive
'On the bright side tomorrow\'s CHOCOLATE DAY #getexcited',positive
'Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. I\'m totally taking advantage of that.',positive
'To all 90\'s ladies, see you on 15th Dec - Axl Rose. @selzky @trisiska_putri @InaDio (teaser biar gak kecewa) http://t.co/hQZNzmZX',neutral
'Noel Gallagher: \\\"\"Musicians are fucking idiots.\\\"\" - Yeah, Brian May - he\'s an idiot... an idiot who just so happens to be a professor?',negative
'Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://t.co/FmoCg7YK',neutral
'@HOPE_forHippies Hell yea lmfaoo , & see you tomorrow Asia baby (;',positive
'@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!',neutral
'Its November already.. Christmas will be here soon, then New Year, then Valentine\'s day then GRADUATION?!?!',neutral
'#NowPlaying Michael Jackson - She\'s Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes',positive
'Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot',negative
'@RediTlhabi @StevenB7777 OCTOBER  people have principles..& argue passionately for them, about them & ACT on them.  Ghandi, Sadat, ADT, me!',positive
'@amberrblack amber fantastic news!!! We will reunite with Barbara and jenelle on November 21st when teen mom 2 premieres!!',positive
'I need another Viv necklace... May buy myself one for Valentines day #nojoke',neutral
'I\'m in the bathroom bumping \\\"\"Niggas In Paris\\\"\" Crunk ass hell like it\'s my 1st time hearing it this song will never get old lol',positive
'Just got tickets to see Muse in Florida. That, combined with the Grammys two weeks prior, equals a really busy February for Ruby and myself.',neutral
'Welcome Nick J! :\\\"\") \\\"\"@nickjonas\\\"\"  In Manila! So excited for the show on Friday.',positive
'Battle for the 17th banner: Royal Rumble basketball edition',neutral
'no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger.',positive
'4th Album out #RED, #20MillionSwifties, 6 Grammy Awards, 10 AMAs, 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift',positive
'Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month, Ca... http://t.co/ctBrbIFt',neutral
'It\'s midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333',positive
'Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company\'s error-ridden new mobile map...',negative
'Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews',neutral
'When I teach a basketball in my own school, we\'re gonna spend the 1st day watching Larry Bird videos, & the rest will take care of itself.',neutral
'AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://t.co/7yoVkmMX',neutral
'We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr',positive
'@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7',neutral
'@mysticvalley Mitch are you free on Sunday to bale leaves for an hour?  If not no big deal  you can have them for animals',neutral
'@stevefekete @altberry @ferlazz @jimmymcgorman @rodneyondrums me heart will explode, i need some new about avril\'s 4th album',neutral
'Love how I skipped every category of the NTA\'s besides the soaps. Couldn\'t give half a fuck if everything else went off the air tomorrow.',positive
'@starky88 @nfl_uk Was in on sat and they only had the Ray Lewis home jersey.  They didn\'t have a lot either.',negative
'New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/yK9VTjcs',neutral
'C\'mon c\'mon does sound like Queen\'s we will rock you somehow...',neutral
'Mashed out to \\\"\"Niggas In Paris\\\"\" in the club while in Paris... as cliche as it may sound. #WeOutHere',neutral
'Pick the Chelsea team to play Swansea - Chelsea\'s focus now turns back to the Premier League and on Saturday we make... http://t.co/6Az8JiIz',neutral
'@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...',neutral
'My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear',positive
'@ariaclemente Wow! you\'re also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled \\\"\"House of Hades\\\"\" @camphalfblood',positive
'Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA',negative
'@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend',negative
'OBVIOUSLY, i am not a fan of Dream High 2 and i haven\'t even watched it! well, i watched the 1st ep,that\'s where i heard that song!^^',negative
'Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one year, and to repeat the next yr',positive
'Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing I\'ve seen tonight.',positive
'Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?',neutral
'Goodnight everyone!!! Talk to you all tomorrow :D I shall leave you with Harry Styles -A http://t.co/fC1ZKoW7',neutral
'Most common nights to order pizza: NYE, Jan 1, day before Thanksgiving, Super Bowl Sunday, Halloween. http://t.co/3j3QiL3j',neutral
'The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://t.co/1RYso3ZZ',positive
'listening to Kendrick Lamar.....I don\'t even want to get a hair cut tomorrow!!!',negative
'HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Gu... http://t.co/hbdrQP3P',neutral
'HT: Norwich 0-0 #Spurs. We\'ve edged the 1st half without creating any clear cut chances. Bale\'s had a couple of decent long range efforts.',neutral
'Guys, the Marijuana law in Colorado, Oregon, and Washington can pass this Tuesday. #HighHopes',positive
'Breezin\' won the Best Pop Instrumental Performance at the 19th Grammy Awards',positive
'\\\"\"Pacino is going to play Joe Paterno.  This is the 2nd time he has starred in a film, that has the line \'say hello to my little friend\\\"\"- SNL',neutral
'Not wearing make up to Dublin tomorrow until I\'m getting ready for the party. Help.',negative
'Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://t.co/F0Kb0gqD',neutral
'It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too',neutral
'Cofield draws leadoff walk in top 4th. Zaharion at the plate.',neutral
'@BieberGomezTour aww my celebrity day is this thursday also, going as Jennifer Hudson though :)',neutral
'@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joe\'s :))',positive
'Took me ten clicks to figure out where to early vote in Colorado. That site doesn\'t say what you need to bring. C\'mon, @ColoSecofState',negative
'Sat down to watch Michael Jackson this is it on DVD xx',neutral
'On the set of the Axis of the Nigerian Economy, airing every tuesday 8:30pm on NTA international (DSTV) http://t.co/qFvON8Uj',neutral
'Text from my dad: \\\"\"you like Charles Dickens\\\"\" 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!',positive
'Upset alert in ACC men\'s soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.',negative
'really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick',negative
'I may have missed out seeing Noel Fielding and Rich Fulcher today, but I did just see Tom Tilley! #samsimmons',neutral
'Thankfully he\'s in Germany now. And comes home in January. Still dangerous though.',negative
'Looper was amazing!!! Now to the theatre to see Simon Callow\'s \'The Mystery of Charles Dickens\' ...loving my Wednesday off work :-)',positive
'If you\'re an October baby, then Happy Valentine\'s Day to your folks ... They have an annual memory',positive
'Negros and nigglettes, all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25',neutral
'Wish Maddie luck next saturday, she has a solo audition for Britain\'s Got Talent! :) ~ Ellie xxxxx',positive
'#NFL Victor Cruz went public this month with his desire for a new contract. On Tuesday, the Giants rec... http://t.co/yzl60CHD #FOOTBALL',neutral
'\% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny',neutral
'@MeganWitmer that\'s crazy. I\'m more jealous of u going to Joe Pa\'s grave! I was sad Saturday when I walked past where the statue should be:(',negative
'Mizzou commemorates its win over Kentucky with a T-shirt. No, really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb',positive
'Who should The Rock face for the WWE Title at the Royal Rumble? I just voted #rockpunk would be a 1st to see',neutral
'@FruitPunchToday lol that was our only year we may have had a chance at the Superbowl. Now we must wait until Nick Foley',neutral
'@Vikingdane1 Thinking a bolt action .30-06 may have to be in the cards for Valentine\'s Day or something.',neutral
'Happy Valentine\'s Day!!! @MAziing: Everyday is the 14th!',positive
'I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the #NBA2k13 release #120pagesleft',neutral
'@xBecx92 it may be Indian time tonite Becky :-) xx',neutral
'Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious',positive
'@sumeetkulkarni Season ends with Superbowl in first week of February.',neutral
'@HilciaJSu Your review reminded me I still need 2 read the very 1st Percy Jackson book! Heroes of Olympus is an offshoot series from it?',neutral
'Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird',neutral
'This Sunday New York Giants are going down. #Steelers',negative
'As an introduction to Literature we wrote about The Woman In Black, not something I particulalry want to read, may just cry #ShitMyself',negative
'\\\"\"@Ilovedoobz: @Patty_flipping I did, the other new is in today, northern lights......\\\"\" I get payed tomorrow!',neutral
'Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrow, shout outs to WVU... http://t.co/d76r8YZH',neutral
'I posted 12 photos on Facebook in the album \\\"\"Super Sunday wid Shobhit Bhatia......\\\"\" http://t.co/9DYtiAxO',neutral
'I been watching \\\"\"All-Access Kentucky\\\"\" every wed and it has been making me like these young dudes on Kentucky.',neutral
'\\\"\"Nick J all day\\\"\" and \\\"\"#30\\\"\" on my powder puff pants. Looks like I\'m gonna be a stud tomorrow under the lights. @L_Starcevich @N_Jeffries13',positive
'Roy ... just go ... you\'re a bigger embarassment than Capello and McClaren ... http://t.co/EAsMq1m7',negative
'##$$## Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lens, Black & Nikon ... http://t.co/NPMjK8UC',neutral
'Han mon dieu le remix de I am the best dans Dream High 2, je meurs XDDD',positive
'You do not want to miss this tomorrow night.  RJ is moving to Maryland soon, and we have a truly epic set planned... http://t.co/NItJIA5v',neutral
'Don\'t forget Mitch Daniels is going to be on Steven Colbert\'s show Thursday.  Think this will come up as a topic?',neutral
'\\\"\"@bline803rasta: Mane I gotta see that Denzel movie tomorrow! Shit look like its gone be a good one\\\"\"ditto. Im going to try to go tomorrow',positive
'@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.',neutral
'Grammy and Caleb going Freeport tomorrow chalee,',neutral
'@kdbowe But how you gon handle it if you are announcing ON SUPER BOWL SUNDAY?!! You might put that gold back in yo grill.',neutral
'@Dapper_Dan1988 I have plans to go to CVS before work today and get something.  That may be what I get. I\'m going to quarantine myself today',neutral
'iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the company\'s er... http://t.co/7dzvgXNz',neutral
'Full Moon:Oct 29th. You can read more if you have your Sun Sign in Libra, Scorpio, Sag, Cap, Aqua or Pisces http://t.co/HNgb7Qn3',neutral
'Drew Peterson may be convicted, but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago',neutral
'@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.',neutral
'With all Benson\'s attention, Frankie feels like a forgotten stepchild. Lets \'founding father\' him so he know we will never forget 2nd place.',negative
'Police, protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE',negative
'I will be participating in a Google+ Hangout with @TheEconomist tomorrow!  I\'m SUPER excited! Check it out: https://t.co/jvmZcqBa',positive
'@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!',negative
'Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but it\'s against my boys, LETS GO SPURS! #Spurs #NBA',positive
'@witheredhand I\'ve paid a few quid for a Jim White record if I recall correctly but I\'m not in the biz so i may well be missing the point.',neutral
'@TeamStradley mines personal thinking Tebow is better then Flacco. I don\'t care how bad he played Sunday',positive
'@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.',positive
'@politicalwire I\'m still shaking my head at that decision and that the Heat & Knick are actually playing tomorrow at MSG.',negative
'the glass may be rising, but it\'s not getting any warmer here, Lago del Desierto, Argentina http://t.co/Hp4S2M5G',negative
'Wish I could make that trip to Athens on Tuesday @iCaptainMorgan',positive
'Apple software, retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea...',neutral
'i want to watch The Grey... for the 16th time.',positive
'Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng',neutral
'I\'m hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!',neutral
'\\\"\"Eli Manning hopes the Giants can uplift the spirits of the millions affected by Sandy in NY with their game against the Steelers on Sunday\\\"\"',neutral
'@_AllBelongs2Me_ the McCormick Place....rite here by the hyatt hotel on like 23rd nd King Dr.',neutral
'Fabio Capello: \\\"\"From what I\'ve seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow\\\"\". #cantwait',positive
'@bbberb not necessarily. In Nevada it may help Obama because its one less vote for Romney. But I know what you mean hah.',neutral
